Points_0,Points_1,Points_2,U_0,U_1,U_2,U_Magnitude
-0.0248285,0.05,0,0.00156497,1.00663,-4.25098e-08,1.00663
-0.024765,0.05,0,0.00156046,1.00662,-4.24493e-08,1.00662
-0.0247015,0.05,0,0.00155595,1.00661,-4.23887e-08,1.00662
-0.024638,0.05,0,0.00155143,1.00661,-4.23282e-08,1.00661
-0.0245745,0.05,0,0.00154692,1.0066,-4.22677e-08,1.0066
-0.024511,0.05,0,0.00154241,1.00659,-4.22071e-08,1.00659
-0.0244475,0.05,0,0.0015379,1.00658,-4.21466e-08,1.00658
-0.024384,0.05,0,0.00153339,1.00657,-4.20861e-08,1.00657
-0.0243205,0.05,0,0.00152887,1.00656,-4.20255e-08,1.00656
-0.024257,0.05,0,0.00152436,1.00655,-4.1965e-08,1.00655
-0.0241935,0.05,0,0.00151985,1.00654,-4.19045e-08,1.00654
-0.02413,0.05,0,0.00151534,1.00653,-4.1844e-08,1.00653
-0.0240665,0.05,0,0.00151082,1.00652,-4.17834e-08,1.00653
-0.024003,0.05,0,0.00150631,1.00652,-4.17229e-08,1.00652
-0.0239395,0.05,0,0.0015018,1.00651,-4.16624e-08,1.00651
-0.023876,0.05,0,0.00149729,1.0065,-4.16018e-08,1.0065
-0.0238125,0.05,0,0.00149277,1.00649,-4.1539e-08,1.00649
-0.023749,0.05,0,0.00148796,1.00648,-4.12726e-08,1.00648
-0.0236855,0.05,0,0.00148315,1.00647,-4.10061e-08,1.00647
-0.023622,0.05,0,0.00147834,1.00646,-4.07396e-08,1.00647
-0.0235585,0.05,0,0.00147353,1.00646,-4.04732e-08,1.00646
-0.023495,0.05,0,0.00146871,1.00645,-4.02067e-08,1.00645
-0.0234315,0.05,0,0.0014639,1.00644,-3.99403e-08,1.00644
-0.023368,0.05,0,0.00145909,1.00643,-3.96738e-08,1.00643
-0.0233045,0.05,0,0.00145428,1.00642,-3.94074e-08,1.00643
-0.023241,0.05,0,0.00144947,1.00642,-3.91409e-08,1.00642
-0.0231775,0.05,0,0.00144466,1.00641,-3.88744e-08,1.00641
-0.023114,0.05,0,0.00143985,1.0064,-3.8608e-08,1.0064
-0.0230505,0.05,0,0.00143504,1.00639,-3.83415e-08,1.00639
-0.022987,0.05,0,0.00143023,1.00638,-3.80751e-08,1.00638
-0.0229235,0.05,0,0.00142541,1.00638,-3.78086e-08,1.00638
-0.02286,0.05,0,0.0014206,1.00637,-3.75421e-08,1.00637
-0.0227965,0.05,0,0.00141579,1.00636,-3.72757e-08,1.00636
-0.022733,0.05,0,0.00141098,1.00635,-3.70092e-08,1.00635
-0.0226695,0.05,0,0.00140617,1.00634,-3.67428e-08,1.00634
-0.022606,0.05,0,0.00140136,1.00634,-3.64763e-08,1.00634
-0.0225425,0.05,0,0.00139655,1.00633,-3.62098e-08,1.00633
-0.022479,0.05,0,0.00139174,1.00632,-3.59434e-08,1.00632
-0.0224155,0.05,0,0.00138692,1.00631,-3.56769e-08,1.00631
-0.022352,0.05,0,0.00138211,1.0063,-3.54105e-08,1.0063
-0.0222885,0.05,0,0.0013773,1.00629,-3.5144e-08,1.0063
-0.022225,0.05,0,0.00137249,1.00629,-3.48775e-08,1.00629
-0.0221615,0.05,0,0.00136768,1.00628,-3.46111e-08,1.00628
-0.022098,0.05,0,0.00136287,1.00627,-3.43446e-08,1.00627
-0.0220345,0.05,0,0.00135806,1.00626,-3.40782e-08,1.00626
-0.021971,0.05,0,0.00135325,1.00625,-3.38117e-08,1.00626
-0.0219075,0.05,0,0.00134844,1.00625,-3.35452e-08,1.00625
-0.021844,0.05,0,0.00134363,1.00624,-3.32788e-08,1.00624
-0.0217805,0.05,0,0.00133759,1.00623,-3.28478e-08,1.00623
-0.021717,0.05,0,0.00133119,1.00623,-3.23685e-08,1.00623
-0.0216535,0.05,0,0.00132479,1.00622,-3.18892e-08,1.00622
-0.02159,0.05,0,0.00131839,1.00621,-3.14099e-08,1.00621
-0.0215265,0.05,0,0.00131199,1.00621,-3.09306e-08,1.00621
-0.021463,0.05,0,0.00130559,1.0062,-3.04513e-08,1.0062
-0.0213995,0.05,0,0.00129919,1.00619,-2.9972e-08,1.0062
-0.021336,0.05,0,0.00129279,1.00619,-2.94927e-08,1.00619
-0.0212725,0.05,0,0.00128639,1.00618,-2.90134e-08,1.00618
-0.021209,0.05,0,0.00127999,1.00618,-2.85341e-08,1.00618
-0.0211455,0.05,0,0.00127359,1.00617,-2.80548e-08,1.00617
-0.021082,0.05,0,0.00126719,1.00616,-2.75755e-08,1.00616
-0.0210185,0.05,0,0.00126079,1.00616,-2.70962e-08,1.00616
-0.020955,0.05,0,0.0012544,1.00615,-2.66169e-08,1.00615
-0.0208915,0.05,0,0.001248,1.00614,-2.61376e-08,1.00615
-0.020828,0.05,0,0.0012416,1.00614,-2.56583e-08,1.00614
-0.0207645,0.05,0,0.0012352,1.00613,-2.5179e-08,1.00613
-0.020701,0.05,0,0.0012288,1.00613,-2.46997e-08,1.00613
-0.0206375,0.05,0,0.0012224,1.00612,-2.42204e-08,1.00612
-0.020574,0.05,0,0.001216,1.00611,-2.37411e-08,1.00611
-0.0205105,0.05,0,0.0012096,1.00611,-2.32618e-08,1.00611
-0.020447,0.05,0,0.0012032,1.0061,-2.27825e-08,1.0061
-0.0203835,0.05,0,0.0011968,1.00609,-2.23033e-08,1.0061
-0.02032,0.05,0,0.0011904,1.00609,-2.1824e-08,1.00609
-0.0202565,0.05,0,0.001184,1.00608,-2.13447e-08,1.00608
-0.020193,0.05,0,0.0011776,1.00608,-2.08654e-08,1.00608
-0.0201295,0.05,0,0.0011712,1.00607,-2.03861e-08,1.00607
-0.020066,0.05,0,0.00116481,1.00606,-1.99068e-08,1.00606
-0.0200025,0.05,0,0.00115841,1.00606,-1.94275e-08,1.00606
-0.019939,0.05,0,0.00115201,1.00605,-1.89482e-08,1.00605
-0.0198755,0.05,0,0.00114561,1.00605,-1.84689e-08,1.00605
-0.019812,0.05,0,0.0011398,1.00604,-1.78578e-08,1.00604
-0.0197485,0.05,0,0.00113448,1.00604,-1.71367e-08,1.00604
-0.019685,0.05,0,0.00112917,1.00603,-1.64156e-08,1.00603
-0.0196215,0.05,0,0.00112385,1.00603,-1.56944e-08,1.00603
-0.019558,0.05,0,0.00111854,1.00602,-1.49733e-08,1.00602
-0.0194945,0.05,0,0.00111322,1.00602,-1.42522e-08,1.00602
-0.019431,0.05,0,0.00110791,1.00601,-1.35311e-08,1.00601
-0.0193675,0.05,0,0.00110259,1.00601,-1.28099e-08,1.00601
-0.019304,0.05,0,0.00109728,1.006,-1.20888e-08,1.006
-0.0192405,0.05,0,0.00109196,1.006,-1.13677e-08,1.006
-0.019177,0.05,0,0.00108665,1.00599,-1.06466e-08,1.00599
-0.0191135,0.05,0,0.00108133,1.00599,-9.92544e-09,1.00599
-0.01905,0.05,0,0.00107602,1.00599,-9.2043e-09,1.00599
-0.0189865,0.05,0,0.0010707,1.00598,-8.48318e-09,1.00598
-0.018923,0.05,0,0.00106539,1.00598,-7.76206e-09,1.00598
-0.0188595,0.05,0,0.00106007,1.00597,-7.04092e-09,1.00597
-0.018796,0.05,0,0.00105476,1.00597,-6.3198e-09,1.00597
-0.0187325,0.05,0,0.00104944,1.00596,-5.59868e-09,1.00596
-0.018669,0.05,0,0.00104413,1.00596,-4.87754e-09,1.00596
-0.0186055,0.05,0,0.00103881,1.00595,-4.15642e-09,1.00595
-0.018542,0.05,0,0.0010335,1.00595,-3.4353e-09,1.00595
-0.0184785,0.05,0,0.00102818,1.00594,-2.71416e-09,1.00594
-0.018415,0.05,0,0.00102287,1.00594,-1.99304e-09,1.00594
-0.0183515,0.05,0,0.00101755,1.00594,-1.27192e-09,1.00594
-0.018288,0.05,0,0.00101224,1.00593,-5.508e-10,1.00593
-0.0182245,0.05,0,0.00100692,1.00593,1.70341e-10,1.00593
-0.018161,0.05,0,0.00100161,1.00592,8.91461e-10,1.00592
-0.0180975,0.05,0,0.000996292,1.00592,1.61258e-09,1.00592
-0.018034,0.05,0,0.000990976,1.00591,2.33372e-09,1.00591
