Points_0,Points_1,Points_2,U_0,U_1,U_2,U_Magnitude
0.0278765,0.05,0,-0.00186319,1.00736,-7.53341e-08,1.00737
0.02794,0.05,0,-0.00186744,1.00739,-7.47209e-08,1.00739
0.0280035,0.05,0,-0.00187169,1.00741,-7.41078e-08,1.00741
0.028067,0.05,0,-0.00187595,1.00743,-7.34947e-08,1.00743
0.0281305,0.05,0,-0.0018802,1.00745,-7.28816e-08,1.00746
0.028194,0.05,0,-0.00188446,1.00748,-7.22684e-08,1.00748
0.0282575,0.05,0,-0.00188871,1.0075,-7.16553e-08,1.0075
0.028321,0.05,0,-0.00189297,1.00752,-7.10422e-08,1.00752
0.0283845,0.05,0,-0.00189722,1.00754,-7.04291e-08,1.00755
0.028448,0.05,0,-0.00190148,1.00757,-6.9816e-08,1.00757
0.0285115,0.05,0,-0.00190573,1.00759,-6.92028e-08,1.00759
0.028575,0.05,0,-0.00190999,1.00761,-6.85897e-08,1.00761
0.0286385,0.05,0,-0.00191424,1.00763,-6.79766e-08,1.00764
0.028702,0.05,0,-0.0019185,1.00766,-6.73635e-08,1.00766
0.0287655,0.05,0,-0.00192275,1.00768,-6.67503e-08,1.00768
0.028829,0.05,0,-0.0019282,1.00758,-6.6607e-08,1.00758
0.0288925,0.05,0,-0.00193381,1.00747,-6.65313e-08,1.00747
0.028956,0.05,0,-0.00193943,1.00735,-6.64557e-08,1.00736
0.0290195,0.05,0,-0.00194504,1.00724,-6.638e-08,1.00724
0.029083,0.05,0,-0.00195066,1.00713,-6.63044e-08,1.00713
0.0291465,0.05,0,-0.00195627,1.00701,-6.62287e-08,1.00701
0.02921,0.05,0,-0.00196189,1.0069,-6.61531e-08,1.0069
0.0292735,0.05,0,-0.0019675,1.00678,-6.60774e-08,1.00679
0.029337,0.05,0,-0.00197312,1.00667,-6.60018e-08,1.00667
0.0294005,0.05,0,-0.00197873,1.00656,-6.59261e-08,1.00656
0.029464,0.05,0,-0.00198435,1.00644,-6.58505e-08,1.00644
0.0295275,0.05,0,-0.00198996,1.00633,-6.57748e-08,1.00633
0.029591,0.05,0,-0.00199558,1.00621,-6.56992e-08,1.00622
0.0296545,0.05,0,-0.00200119,1.0061,-6.56235e-08,1.0061
0.029718,0.05,0,-0.00200681,1.00599,-6.55479e-08,1.00599
0.0297815,0.05,0,-0.00200928,1.00511,-6.55401e-08,1.00511
0.029845,0.05,0,-0.00200237,1.00194,-6.57355e-08,1.00194
0.0299085,0.05,0,-0.00199546,0.998769,-6.59309e-08,0.998771
0.029972,0.05,0,-0.00198854,0.9956,-6.61264e-08,0.995602
0.0300355,0.05,0,-0.00198163,0.992431,-6.63218e-08,0.992433
0.030099,0.05,0,-0.00197472,0.989262,-6.65173e-08,0.989264
0.0301625,0.05,0,-0.00196781,0.986094,-6.67127e-08,0.986096
0.030226,0.05,0,-0.00196089,0.982925,-6.69081e-08,0.982927
0.0302895,0.05,0,-0.00195398,0.979756,-6.71036e-08,0.979758
0.030353,0.05,0,-0.00194707,0.976587,-6.7299e-08,0.976589
0.0304165,0.05,0,-0.00194015,0.973418,-6.74944e-08,0.97342
0.03048,0.05,0,-0.00193324,0.970249,-6.76899e-08,0.970251
0.0305435,0.05,0,-0.00192633,0.967081,-6.78853e-08,0.967083
0.030607,0.05,0,-0.00191941,0.963912,-6.80807e-08,0.963914
0.0306705,0.05,0,-0.0019125,0.960743,-6.82762e-08,0.960745
0.030734,0.05,0,-0.00190559,0.957574,-6.84716e-08,0.957576
0.0307975,0.05,0,-0.00182685,0.918119,-6.58022e-08,0.918121
0.030861,0.05,0,-0.00170506,0.85691,-6.14153e-08,0.856912
0.0309245,0.05,0,-0.00158327,0.795703,-5.70285e-08,0.795704
0.030988,0.05,0,-0.00146148,0.734495,-5.26418e-08,0.734497
0.0310515,0.05,0,-0.00133969,0.673286,-4.82549e-08,0.673287
0.031115,0.05,0,-0.0012179,0.612079,-4.38681e-08,0.61208
0.0311785,0.05,0,-0.00109611,0.550871,-3.94813e-08,0.550873
0.031242,0.05,0,-0.000974319,0.489662,-3.50944e-08,0.489663
0.0313055,0.05,0,-0.000852534,0.428457,-3.07078e-08,0.428458
0.031369,0.05,0,-0.000730741,0.367248,-2.63209e-08,0.367248
0.0314325,0.05,0,-0.000608949,0.306038,-2.1934e-08,0.306039
0.031496,0.05,0,-0.000487163,0.244833,-1.75473e-08,0.244833
0.0315595,0.05,0,-0.000365371,0.183624,-1.31604e-08,0.183624
0.031623,0.05,0,-0.000243578,0.122415,-8.77354e-09,0.122415
0.0316865,0.05,0,-0.000121793,0.0612091,-4.3869e-09,0.0612093
0.03175,0.05,0,0,0,0,0
