Points_0,Points_1,Points_2,U_0,U_1,U_2,U_Magnitude
-0.009144,0.05,0,-0.000499252,1.40097,-5.87996e-06,1.40097
-0.0090805,0.05,0,-0.000596984,1.39698,-5.92109e-06,1.39698
-0.009017,0.05,0,-0.000694717,1.393,-5.96222e-06,1.393
-0.0089535,0.05,0,-0.000792448,1.38901,-6.00334e-06,1.38901
-0.00889,0.05,0,-0.00089018,1.38503,-6.04447e-06,1.38503
-0.0088265,0.05,0,-0.000987911,1.38104,-6.0856e-06,1.38104
-0.008763,0.05,0,-0.00108564,1.37705,-6.12672e-06,1.37705
-0.0086995,0.05,0,-0.00118338,1.37307,-6.16785e-06,1.37307
-0.008636,0.05,0,-0.00128111,1.36908,-6.20898e-06,1.36908
-0.0085725,0.05,0,-0.00137884,1.3651,-6.2501e-06,1.3651
-0.008509,0.05,0,-0.00147657,1.36111,-6.29123e-06,1.36111
-0.0084455,0.05,0,-0.0015743,1.35712,-6.33236e-06,1.35712
-0.008382,0.05,0,-0.00167203,1.35314,-6.37348e-06,1.35314
-0.0083185,0.05,0,-0.00176977,1.34915,-6.41461e-06,1.34915
-0.008255,0.05,0,-0.0018675,1.34517,-6.45573e-06,1.34517
-0.0081915,0.05,0,-0.00196523,1.34118,-6.49686e-06,1.34118
-0.008128,0.05,0,-0.00206296,1.33719,-6.53799e-06,1.3372
-0.0080645,0.05,0,-0.00216069,1.33321,-6.57911e-06,1.33321
-0.008001,0.05,0,-0.00225584,1.32897,-6.62235e-06,1.32897
-0.0079375,0.05,0,-0.00230294,1.32002,-6.70484e-06,1.32002
-0.007874,0.05,0,-0.00235004,1.31108,-6.78733e-06,1.31108
-0.0078105,0.05,0,-0.00239713,1.30213,-6.86982e-06,1.30213
-0.007747,0.05,0,-0.00244423,1.29318,-6.95231e-06,1.29319
-0.0076835,0.05,0,-0.00249133,1.28424,-7.0348e-06,1.28424
-0.00762,0.05,0,-0.00253843,1.27529,-7.11729e-06,1.27529
-0.0075565,0.05,0,-0.00258553,1.26634,-7.19977e-06,1.26635
-0.007493,0.05,0,-0.00263263,1.2574,-7.28226e-06,1.2574
-0.0074295,0.05,0,-0.00267972,1.24845,-7.36475e-06,1.24845
-0.007366,0.05,0,-0.00272682,1.2395,-7.44724e-06,1.23951
-0.0073025,0.05,0,-0.00277392,1.23056,-7.52973e-06,1.23056
-0.007239,0.05,0,-0.00282102,1.22161,-7.61222e-06,1.22161
-0.0071755,0.05,0,-0.00286812,1.21266,-7.69471e-06,1.21267
-0.007112,0.05,0,-0.00291521,1.20372,-7.7772e-06,1.20372
-0.0070485,0.05,0,-0.00296231,1.19477,-7.85969e-06,1.19478
-0.006985,0.05,0,-0.00296285,1.18546,-7.90127e-06,1.18546
-0.0069215,0.05,0,-0.00294456,1.17599,-7.9263e-06,1.176
-0.006858,0.05,0,-0.00292626,1.16653,-7.95133e-06,1.16653
-0.0067945,0.05,0,-0.00290796,1.15706,-7.97636e-06,1.15707
-0.006731,0.05,0,-0.00288967,1.1476,-8.00139e-06,1.1476
-0.0066675,0.05,0,-0.00287137,1.13814,-8.02642e-06,1.13814
-0.006604,0.05,0,-0.00285308,1.12867,-8.05145e-06,1.12868
-0.0065405,0.05,0,-0.00283478,1.11921,-8.07648e-06,1.11921
-0.006477,0.05,0,-0.00281648,1.10974,-8.10151e-06,1.10975
-0.0064135,0.05,0,-0.00279819,1.10028,-8.12654e-06,1.10028
-0.00635,0.05,0,-0.00277989,1.09082,-8.15157e-06,1.09082
-0.0062865,0.05,0,-0.00276159,1.08135,-8.1766e-06,1.08136
-0.006223,0.05,0,-0.0027433,1.07189,-8.20163e-06,1.07189
-0.0061595,0.05,0,-0.002725,1.06242,-8.22666e-06,1.06243
-0.006096,0.05,0,-0.00270671,1.05296,-8.25169e-06,1.05296
-0.0060325,0.05,0,-0.00267349,1.0421,-8.25212e-06,1.04211
-0.005969,0.05,0,-0.00262731,1.03004,-8.23117e-06,1.03004
-0.0059055,0.05,0,-0.00258114,1.01797,-8.21022e-06,1.01797
-0.005842,0.05,0,-0.00253496,1.00591,-8.18927e-06,1.00591
-0.0057785,0.05,0,-0.00248878,0.99384,-8.16832e-06,0.993843
-0.005715,0.05,0,-0.0024426,0.981774,-8.14737e-06,0.981777
-0.0056515,0.05,0,-0.00239642,0.969708,-8.12642e-06,0.969711
-0.005588,0.05,0,-0.00235024,0.957642,-8.10547e-06,0.957645
-0.0055245,0.05,0,-0.00230406,0.945577,-8.08452e-06,0.945579
-0.005461,0.05,0,-0.00225788,0.933511,-8.06357e-06,0.933514
-0.0053975,0.05,0,-0.0022117,0.921445,-8.04262e-06,0.921448
-0.005334,0.05,0,-0.00216552,0.909379,-8.02168e-06,0.909382
-0.0052705,0.05,0,-0.00211934,0.897313,-8.00072e-06,0.897316
-0.005207,0.05,0,-0.00207316,0.885248,-7.97977e-06,0.88525
-0.0051435,0.05,0,-0.00202698,0.873182,-7.95883e-06,0.873184
-0.00508,0.05,0,-0.00197361,0.859208,-7.90664e-06,0.85921
-0.0050165,0.05,0,-0.00191487,0.843812,-7.83115e-06,0.843814
-0.004953,0.05,0,-0.00185613,0.828416,-7.75566e-06,0.828418
-0.0048895,0.05,0,-0.00179739,0.81302,-7.68018e-06,0.813022
-0.004826,0.05,0,-0.00173865,0.797623,-7.60469e-06,0.797625
-0.0047625,0.05,0,-0.00167991,0.782227,-7.5292e-06,0.782229
-0.004699,0.05,0,-0.00162118,0.766831,-7.45372e-06,0.766833
-0.0046355,0.05,0,-0.00156244,0.751435,-7.37823e-06,0.751436
-0.004572,0.05,0,-0.0015037,0.736039,-7.30274e-06,0.73604
-0.0045085,0.05,0,-0.00144496,0.720642,-7.22726e-06,0.720644
-0.004445,0.05,0,-0.00138622,0.705246,-7.15177e-06,0.705248
-0.0043815,0.05,0,-0.00132748,0.68985,-7.07628e-06,0.689851
-0.004318,0.05,0,-0.00126874,0.674454,-7.00079e-06,0.674455
-0.0042545,0.05,0,-0.00121001,0.659058,-6.92531e-06,0.659059
-0.004191,0.05,0,-0.00115127,0.643661,-6.84982e-06,0.643662
-0.0041275,0.05,0,-0.00109958,0.624378,-6.71358e-06,0.624379
-0.004064,0.05,0,-0.00104867,0.60467,-6.57071e-06,0.604671
-0.0040005,0.05,0,-0.000997762,0.584963,-6.42784e-06,0.584963
-0.003937,0.05,0,-0.00094685,0.565255,-6.28497e-06,0.565255
-0.0038735,0.05,0,-0.000895939,0.545547,-6.1421e-06,0.545548
-0.00381,0.05,0,-0.000845027,0.525839,-5.99923e-06,0.52584
-0.0037465,0.05,0,-0.000794116,0.506131,-5.85637e-06,0.506132
-0.003683,0.05,0,-0.000743204,0.486424,-5.7135e-06,0.486424
-0.0036195,0.05,0,-0.000692293,0.466716,-5.57063e-06,0.466716
-0.003556,0.05,0,-0.000641381,0.447008,-5.42776e-06,0.447009
-0.0034925,0.05,0,-0.00059047,0.4273,-5.28489e-06,0.427301
-0.003429,0.05,0,-0.000539558,0.407593,-5.14202e-06,0.407593
-0.0033655,0.05,0,-0.000488647,0.387885,-4.99915e-06,0.387885
-0.003302,0.05,0,-0.000437735,0.368177,-4.85628e-06,0.368177
-0.0032385,0.05,0,-0.000397891,0.342258,-4.55286e-06,0.342258
-0.003175,0.05,0,-0.000363924,0.31304,-4.16419e-06,0.31304
-0.0031115,0.05,0,-0.000329956,0.283822,-3.77552e-06,0.283822
-0.003048,0.05,0,-0.000295989,0.254604,-3.38685e-06,0.254604
-0.0029845,0.05,0,-0.000262021,0.225386,-2.99818e-06,0.225386
-0.002921,0.05,0,-0.000228054,0.196168,-2.60951e-06,0.196168
-0.0028575,0.05,0,-0.000194087,0.166949,-2.22083e-06,0.16695
-0.002794,0.05,0,-0.000160119,0.137732,-1.83216e-06,0.137732
-0.0027305,0.05,0,-0.000126152,0.108514,-1.44349e-06,0.108514
-0.002667,0.05,0,-9.21848e-05,0.0792955,-1.05482e-06,0.0792955
-0.0026035,0.05,0,-5.82175e-05,0.0500775,-6.66153e-07,0.0500776
-0.00254,0.05,0,-2.42501e-05,0.0208595,-2.77482e-07,0.0208595
-0.0024765,0.05,0,nan,nan,nan,nan
-0.002413,0.05,0,nan,nan,nan,nan
-0.0023495,0.05,0,nan,nan,nan,nan
